Date of Encashment,Name of the Political Party,Denomination
25/Jul/2023,BHARAT RASHTRA SAMITHI,10000000
25/Jul/2023,BHARAT RASHTRA SAMITHI,10000000
25/Jul/2023,BHARAT RASHTRA SAMITHI,10000000
25/Jul/2023,BHARAT RASHTRA SAMITHI,10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
25/Jul/2023,SHIVSENA (POLITICAL PARTY),10000000
26/Jul/2023,AAM AADMI PARTY,100000
26/Jul/2023,AAM AADMI PARTY,1000000
26/Jul/2023,AAM AADMI PARTY,100000
26/Jul/2023,AAM AADMI PARTY,100000
26/Jul/2023,AAM AADMI PARTY,100000
26/Jul/2023,AAM AADMI PARTY,100000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
05/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
06/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,BHARAT RASHTRA SAMITHI,10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
07/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,100000
09/Oct/2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
10/Oct/2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
